year;revenue;expenses;operatingprofit;Financial;profitbeforetax];netprofit;employees;emprof;emprev;growthto1995
2022;64647;-46726;17921;-245;17676;13782;23775;579.6845426;2719.116719;26.14792899
2021;55294;-38250;17044;-39;17005;13285;20198;657.7383899;2737.597782;25.15532544
2020;43656;-30744;12912;-412;12500;9916;17431;568.8715507;2504.503471;18.49112426
2019;38544;-27707;10837;-85;10752;8306;16112;515.5163853;2392.25422;15.90532544
2018;36391;-25617;10774;-264;10510;8076;15050;536.6112957;2418.006645;15.54733728
2017;34995;-24636;10359;-158;10201;7806;16480;473.6650485;2123.48301;15.09023669
2016;37934;-25486;12448;-57;12391;9436;16836;560.4656688;2253.148016;18.32988166
2015;35780;-23536;12244;-96;12148;9174;13974;656.5049377;2560.469443;17.9704142
2014;28578;-18881;9697;-206;9491;7025;12582;558.3373073;2271.34001;14.03994083
2013;25294;-16958;8336;97;8239;6119;11755;520.5444492;2151.765206;12.18786982
2012;23095;-15489;7606;-84;7522;5613;10400;539.7115385;2220.673077;11.12721893
2011;18731;-13065;5666;-124;5542;4160;9374;443.7806699;1998.186473;8.198224852
2010;16014;-10899;4973;-84;4889;3718;8365;444.4710102;1914.40526;7.232248521
2009;11661;-8659;3002;0;2887;2204;7286;302.4979413;1600.466648;4.270710059
2008;9526;-7522;2004;0;1852;1352;5388;250.9279881;1768.00297;2.73964497
2007;8027;-6556;1471;0;1414;1028;4199;244.8201953;1911.64563;2.091715976
2006;7798;-6393;1405;0;1281;1290;4908;262.8361858;1588.834556;1.894970414
2005;7027;-6605;423;-3;456;505;6643;76.01987054;1057.805208;0.674556213
2004;6315;-6252;-1162;-75;-1237;-1931;7345;-262.8999319;859.76855;-1.829881657
2003;6792;-7902;-1565;67;-1498;-935;8298;-112.6777537;818.5104845;-2.215976331
2002;9601;-8795;806;-189;617;326;8316;39.2015392;1154.521405;0.912721893
2001;9000;-8142;700;-215;521;366;7658;47.79315748;1175.241577;0.770710059
2000;9647;0;-869;-201;-1070;-831;7880;-105.4568528;1224.238579;-1.582840237
1999;9808;0;638;-122;516;274;7821;35.03388314;1254.059583;0.763313609
1998;7680;0;0;0;-282;-194;8670;-22.37600923;885.8131488;-0.417159763
1997;7616;0;0;0;171;62;8668;7.152745731;878.6340563;0.25295858
1996;7534;0;0;0;699;470;8178;57.47126437;921.2521399;1.034023669
1995;6844;0;0;0;676;431;8535;50.49794962;801.8746339;1

