,cat1,year,set_num
0,Lego_movie_brand,2002,21
1,Lego_movie_brand,2010,19
2,Lego_movie_brand,2011,48
3,Lego_movie_brand,2012,47
4,Lego_movie_brand,2013,35
5,Lego_movie_brand,2014,82
6,Lego_movie_brand,2015,81
7,Lego_movie_brand,2016,40
8,Lego_movie_brand,2017,25
9,Lego_movie_brand,2018,48
10,Lego_movie_brand,2019,91
11,Lego_movie_brand,2020,47
12,Lego_movie_brand,2021,45
13,Lego_movie_brand,2022,45
14,Lego_movie_brand,2023,36
15,Licensed,1983,4
16,Licensed,1985,2
17,Licensed,1989,8
18,Licensed,1994,4
19,Licensed,1999,15
20,Licensed,2000,32
21,Licensed,2001,27
22,Licensed,2002,54
23,Licensed,2003,35
24,Licensed,2004,47
25,Licensed,2005,34
26,Licensed,2006,26
27,Licensed,2007,22
28,Licensed,2008,45
29,Licensed,2009,46
30,Licensed,2010,63
31,Licensed,2011,83
32,Licensed,2012,114
33,Licensed,2013,105
34,Licensed,2014,104
35,Licensed,2015,125
36,Licensed,2016,130
37,Licensed,2017,155
38,Licensed,2018,193
39,Licensed,2019,144
40,Licensed,2020,155
41,Licensed,2021,173
42,Licensed,2022,158
43,Licensed,2023,138
44,Licensed_Game,2013,3
45,Licensed_Game,2014,8
46,Licensed_Game,2015,5
47,Licensed_Game,2016,8
48,Licensed_Game,2017,9
49,Licensed_Game,2018,13
50,Licensed_Game,2019,19
51,Licensed_Game,2020,46
52,Licensed_Game,2021,57
53,Licensed_Game,2022,63
54,Licensed_Game,2023,40
55,main,1949,5
56,main,1950,6
57,main,1953,4
58,main,1954,14
59,main,1955,39
60,main,1956,18
61,main,1957,23
62,main,1958,65
63,main,1959,4
64,main,1960,3
65,main,1961,26
66,main,1962,14
67,main,1963,56
68,main,1964,38
69,main,1965,20
70,main,1966,119
71,main,1967,27
72,main,1968,39
73,main,1969,70
74,main,1970,38
75,main,1971,54
76,main,1972,39
77,main,1973,68
78,main,1974,38
79,main,1975,33
80,main,1976,70
81,main,1977,105
82,main,1978,71
83,main,1979,88
84,main,1980,100
85,main,1981,78
86,main,1982,82
87,main,1983,54
88,main,1984,77
89,main,1985,159
90,main,1986,147
91,main,1987,214
92,main,1988,73
93,main,1989,110
94,main,1990,94
95,main,1991,114
96,main,1992,126
97,main,1993,114
98,main,1994,132
99,main,1995,164
100,main,1996,162
101,main,1997,243
102,main,1998,365
103,main,1999,314
104,main,2000,294
105,main,2001,334
106,main,2002,404
107,main,2003,396
108,main,2004,327
109,main,2005,276
110,main,2006,262
111,main,2007,265
112,main,2008,270
113,main,2009,340
114,main,2010,262
115,main,2011,253
116,main,2012,304
117,main,2013,353
118,main,2014,482
119,main,2015,442
120,main,2016,473
121,main,2017,414
122,main,2018,396
123,main,2019,395
124,main,2020,434
125,main,2021,528
126,main,2022,450
127,main,2023,313
